ts,total,USDC,Cash_Polymarket
2025-11-04T05:41:27Z,41.0000341741,4.15E-7,41
2025-11-04T05:41:59Z,41.0000341741,4.15E-7,41
2025-11-04T05:43:28Z,41.0000341741,4.15E-7,41
2025-11-04T05:45:56Z,41.0000341741,4.15E-7,41
2025-11-04T05:49:18Z,41.0000341741,4.15E-7,41
2025-11-04T05:51:27Z,41.0000341741,4.15E-7,41
2025-11-04T05:51:59Z,41.0000341741,4.15E-7,41
2025-11-04T05:53:28Z,41.0000341741,4.15E-7,41
2025-11-04T05:55:56Z,41.0000341741,4.15E-7,41
2025-11-04T05:59:18Z,41.0000341741,4.15E-7,41
2025-11-04T06:01:27Z,41.0000341741,4.15E-7,41
2025-11-04T06:02:00Z,41.0000341741,4.15E-7,41
2025-11-04T06:03:29Z,41.0000341741,4.15E-7,41
2025-11-04T06:05:57Z,41.0000341741,4.15E-7,41
2025-11-04T06:09:18Z,41.0000341741,4.15E-7,41
2025-11-04T06:11:27Z,41.0000341741,4.15E-7,41
2025-11-04T06:12:00Z,41.0000341741,4.15E-7,41
2025-11-04T06:13:29Z,41.0000341741,4.15E-7,41
2025-11-04T06:15:57Z,41.0000341741,4.15E-7,41
2025-11-04T06:19:18Z,41.0000341741,4.15E-7,41
2025-11-04T06:21:28Z,41.0000341741,4.15E-7,41
2025-11-04T06:22:00Z,41.0000341741,4.15E-7,41
2025-11-04T06:23:29Z,41.0000341741,4.15E-7,41
2025-11-04T06:25:57Z,41.0000341741,4.15E-7,41
2025-11-04T06:29:18Z,41.0000341741,4.15E-7,41
2025-11-04T06:31:28Z,41.0000341741,4.15E-7,41
2025-11-04T06:32:00Z,41.0000341741,4.15E-7,41
2025-11-04T06:33:29Z,41.0000341741,4.15E-7,41
2025-11-04T06:35:57Z,41.0000341741,4.15E-7,41
2025-11-04T06:39:19Z,41.0000341741,4.15E-7,41
2025-11-04T06:41:28Z,41.0000341741,4.15E-7,41
2025-11-04T06:42:01Z,41.0000341741,4.15E-7,41
2025-11-04T06:43:30Z,41.0000341741,4.15E-7,41
2025-11-04T06:45:57Z,41.0000341741,4.15E-7,41
2025-11-04T06:49:19Z,41.0000341741,4.15E-7,41
2025-11-04T06:51:28Z,41.0000341741,4.15E-7,41
2025-11-04T06:52:01Z,41.0000341741,4.15E-7,41
2025-11-04T06:53:30Z,41.0000341741,4.15E-7,41
2025-11-04T06:55:58Z,41.0000341741,4.15E-7,41
2025-11-04T06:59:19Z,41.0000341741,4.15E-7,41
2025-11-04T07:01:29Z,41.0000341741,4.15E-7,41
2025-11-04T07:02:01Z,41.0000341741,4.15E-7,41
2025-11-04T07:03:30Z,41.0000341741,4.15E-7,41
2025-11-04T07:05:58Z,41.0000341741,4.15E-7,41
2025-11-04T07:09:20Z,41.0000341741,4.15E-7,41
2025-11-04T07:11:29Z,41.0000341741,4.15E-7,41
2025-11-04T07:12:01Z,41.0000341741,4.15E-7,41
2025-11-04T07:13:31Z,41.0000341741,4.15E-7,41
2025-11-04T07:15:58Z,41.0000341741,4.15E-7,41
2025-11-04T07:19:20Z,41.0000341741,4.15E-7,41
2025-11-04T07:21:29Z,41.0000341741,4.15E-7,41
2025-11-04T07:22:02Z,41.0000341741,4.15E-7,41
2025-11-04T07:23:31Z,41.0000341741,4.15E-7,41
2025-11-04T07:25:59Z,41.0000341741,4.15E-7,41
2025-11-04T07:29:20Z,41.0000341741,4.15E-7,41
2025-11-04T07:31:30Z,41.0000341741,4.15E-7,41
2025-11-04T07:32:02Z,41.0000341741,4.15E-7,41
2025-11-04T07:33:31Z,41.0000341741,4.15E-7,41
2025-11-04T07:35:59Z,41.0000341741,4.15E-7,41
2025-11-04T07:39:21Z,41.0000341741,4.15E-7,41
2025-11-04T07:41:30Z,41.0000341741,4.15E-7,41
2025-11-04T07:42:02Z,41.0000341741,4.15E-7,41
2025-11-04T07:43:31Z,41.0000341741,4.15E-7,41
2025-11-04T07:45:59Z,41.0000341741,4.15E-7,41
2025-11-04T07:49:21Z,41.0000341741,4.15E-7,41
2025-11-04T07:51:30Z,41.0000341741,4.15E-7,41
2025-11-04T07:52:03Z,41.0000341741,4.15E-7,41
2025-11-04T07:53:32Z,41.0000341741,4.15E-7,41
2025-11-04T07:55:59Z,41.0000341741,4.15E-7,41
2025-11-04T07:59:21Z,41.0000341741,4.15E-7,41
2025-11-04T08:01:31Z,41.0000341741,4.15E-7,41
2025-11-04T08:02:03Z,41.0000341741,4.15E-7,41
2025-11-04T08:03:32Z,41.0000341741,4.15E-7,41
2025-11-04T08:06:00Z,41.0000341741,4.15E-7,41
2025-11-04T08:09:21Z,41.0000341741,4.15E-7,41
2025-11-04T08:11:31Z,41.0000341741,4.15E-7,41
2025-11-04T08:12:03Z,41.0000341741,4.15E-7,41
2025-11-04T08:13:32Z,41.0000341741,4.15E-7,41
2025-11-04T08:16:00Z,41.0000341741,4.15E-7,41
2025-11-04T08:19:22Z,41.0000341741,4.15E-7,41
2025-11-04T08:21:31Z,41.0000341741,4.15E-7,41
2025-11-04T08:22:03Z,41.0000341741,4.15E-7,41
2025-11-04T08:23:32Z,41.0000341741,4.15E-7,41
2025-11-04T08:26:00Z,41.0000341741,4.15E-7,41
2025-11-04T08:29:22Z,41.0000341741,4.15E-7,41
2025-11-04T08:31:31Z,41.0000341741,4.15E-7,41
2025-11-04T08:32:04Z,41.0000341741,4.15E-7,41
2025-11-04T08:33:33Z,41.0000341741,4.15E-7,41
2025-11-04T08:36:01Z,41.0000341741,4.15E-7,41
2025-11-04T08:39:22Z,41.0000341741,4.15E-7,41
2025-11-04T08:41:32Z,41.0000341741,4.15E-7,41
2025-11-04T08:42:04Z,41.0000341741,4.15E-7,41
2025-11-04T08:43:33Z,41.0000341741,4.15E-7,41
2025-11-04T08:46:01Z,41.0000341741,4.15E-7,41
2025-11-04T08:49:22Z,41.0000341741,4.15E-7,41
2025-11-04T08:51:32Z,41.0000341741,4.15E-7,41
2025-11-04T08:52:04Z,41.0000341741,4.15E-7,41
2025-11-04T08:53:33Z,41.0000341741,4.15E-7,41
2025-11-04T08:56:01Z,41.0000341741,4.15E-7,41
2025-11-04T08:59:23Z,41.0000341741,4.15E-7,41
2025-11-04T09:01:32Z,41.0000341741,4.15E-7,41
2025-11-04T09:02:04Z,41.0000341741,4.15E-7,41
2025-11-04T09:03:34Z,41.0000341741,4.15E-7,41
2025-11-04T09:06:01Z,41.0000341741,4.15E-7,41
2025-11-04T09:09:23Z,41.0000341741,4.15E-7,41
2025-11-04T09:11:32Z,41.0000341741,4.15E-7,41
2025-11-04T09:12:05Z,41.0000341741,4.15E-7,41
2025-11-04T09:13:34Z,41.0000341741,4.15E-7,41
2025-11-04T09:16:02Z,41.0000341741,4.15E-7,41
2025-11-04T09:19:23Z,41.0000341741,4.15E-7,41
2025-11-04T09:21:33Z,41.0000341741,4.15E-7,41
2025-11-04T09:22:05Z,41.0000341741,4.15E-7,41
2025-11-04T09:23:34Z,41.0000341741,4.15E-7,41
2025-11-04T09:26:02Z,41.0000341741,4.15E-7,41
2025-11-04T09:29:24Z,41.0000341741,4.15E-7,41
2025-11-04T09:31:33Z,41.0000341741,4.15E-7,41
2025-11-04T09:32:05Z,41.0000341741,4.15E-7,41
2025-11-04T09:33:34Z,41.0000341741,4.15E-7,41
2025-11-04T09:36:02Z,41.0000341741,4.15E-7,41
2025-11-04T09:39:24Z,41.0000341741,4.15E-7,41
2025-11-04T09:41:33Z,41.0000341741,4.15E-7,41
2025-11-04T09:42:06Z,41.0000341741,4.15E-7,41
2025-11-04T09:43:35Z,41.0000341741,4.15E-7,41
2025-11-04T09:46:02Z,41.0000341741,4.15E-7,41
2025-11-04T09:49:24Z,41.0000341741,4.15E-7,41
2025-11-04T09:51:33Z,41.0000341741,4.15E-7,41
2025-11-04T09:52:06Z,41.0000341741,4.15E-7,41
